combinedFlightNumber,total_cancellations
UA 5102,29
UA 5045,28
UA 5104,22
AS 67,21
WN 1631,21
AA 4209,20
B6 671,19
AS 62,19
AS 992,18
AA 3234,17
AA 4072,17
WN 575,16
B6 676,16
WN 1567,16
WN 1649,15
AA 4212,15
WN 19,15
AA 1761,15
WN 223,14
WN 2416,14
WN 2087,14
WN 55,14
WN 1723,14
AA 1849,13
AA 3031,13
AA 5743,13
WN 102,13
AA 1838,13
AA 1092,13
WN 61,13
B6 1120,13
B6 1455,12
WN 656,12
AA 2199,12
B6 233,12
UA 5089,12
AA 1826,12
AA 2736,12
AA 2434,12
AA 3703,12
AS 922,12
WN 148,12
WN 2135,12
DL 4273,12
UA 5140,12
WN 101,12
AA 3250,12
AA 3209,12
AA 1339,12
AA 1362,12
AA 2420,12
AA 1907,12
WN 1144,11
AA 1892,11
AS 2232,11
AA 3628,11
WN 1632,11
WN 3016,11
AA 3886,11
AA 3777,11
AS 2211,11
AA 3924,11
AA 2399,11
AA 2357,11
AA 980,11
WN 2426,11
DL 4909,11
AA 1939,11
AA 1806,11
AA 2247,11
AA 1472,11
UA 5111,11
UA 5359,11
WN 1123,11
B6 1019,11
WN 1306,11
AA 2798,11
AA 1365,11
WN 522,11
UA 5745,11
AA 4608,11
WN 1830,11
B6 1567,11
AA 2343,11
AA 1832,11
WN 58,11
AA 5853,11
AA 4211,11
NK 960,11
WN 2345,11
WN 1531,11
WN 995,10
WN 850,10
WN 2346,10
UA 5064,10
AA 2858,10
AA 1505,10
AA 2439,10
AA 898,10
B6 2194,10
UA 5505,10
WN 168,10
AA 4126,10
AA 2629,10
WN 2505,10
AS 61,10
B6 808,10
AA 2740,10
WN 774,10
AA 1523,10
DL 2890,10
WN 1620,10
AA 4139,10
AA 2331,10
WN 1617,10
AA 1663,10
AA 2716,10
AA 5040,10
B6 116,10
AA 3715,10
AA 2037,10
AA 1506,10
AA 3285,10
AA 5621,10
AA 2693,10
UA 5477,10
AA 4416,10
WN 12,10
B6 2432,10
AA 1728,10
AA 2444,10
WN 37,10
AA 4345,10
WN 827,10
WN 29,10
UA 5061,10
NK 2007,10
WN 967,10
WN 1181,10
AS 66,10
UA 5766,10
WN 1907,10
AA 3980,10
AA 4687,10
B6 1052,10
NK 317,10
AA 1805,10
B6 695,10
B6 1968,10
AA 3979,10
AA 3693,10
UA 4720,10
AA 1270,10
AA 3636,10
AA 3942,10
WN 895,10
B6 234,10
AA 2398,10
AA 3651,10
B6 182,10
AA 358,10
WN 1640,10
AA 5451,10
AA 584,10
AA 1320,10
WN 1101,10
AA 1868,9
AA 2238,9
AA 2459,9
B6 1815,9
AA 5827,9
AA 2403,9
WN 1509,9
AA 3882,9
AA 4397,9
WN 2513,9
DL 4114,9
NK 387,9
WN 706,9
AA 6084,9
AA 646,9
AA 1588,9
AA 2659,9
B6 185,9
UA 5404,9
WN 2530,9
WN 259,9
B6 2954,9
WN 312,9
WN 283,9
AA 2065,9
WN 1838,9
B6 1271,9
WN 1685,9
AA 1569,9
DL 3997,9
NK 972,9
AA 1423,9
B6 2280,9
B6 2020,9
AA 4187,9
AA 2222,9
DL 3760,9
AA 2078,9
AA 1830,9
B6 1485,9
B6 1954,9
NK 764,9
AA 2081,9
WN 2282,9
AA 2616,9
AA 5731,9
AS 726,9
B6 585,9
WN 204,9
AS 792,9
WN 1500,9
WN 1386,9
AA 3850,9
AA 2487,9
WN 1239,9
WN 900,9
AA 4002,9
UA 5204,9
AA 3809,9
AA 359,9
AA 398,9
WN 1470,9
AA 1710,9
WN 1132,9
WN 942,9
AA 1599,9
UA 4665,9
AA 3857,9
AA 3539,9
AA 3714,9
AA 2314,9
AA 4008,9
AA 3914,9
AA 1497,9
AA 2257,9
AA 2759,9
AA 2635,9
AA 2438,9
B6 1137,9
AS 60,9
AA 4010,9
AA 4194,9
B6 776,9
AA 1957,9
AA 2336,9
NK 1225,9
B6 731,9
B6 686,9
B6 1555,9
WN 3058,9
AA 2922,9
AA 1322,9
AA 2596,9
AA 1708,9
WN 493,9
B6 331,9
NK 2006,9
AA 1992,9
AA 4164,9
B6 918,9
WN 679,9
WN 772,9
WN 629,9
AA 2249,9
WN 824,9
AA 3203,9
AA 1917,9
AA 1813,9
AA 1100,9
WN 1862,9
AA 1421,9
DL 5266,9
AA 2345,9
WN 950,9
AA 4101,9
AA 3123,9
B6 2001,9
AA 1950,9
NK 2957,9
NK 609,9
AA 4014,9
AA 3272,9
AA 3823,8
NK 98,8
NK 2956,8
AA 6077,8
AA 2610,8
AA 2158,8
B6 794,8
B6 102,8
AA 3696,8
AA 1955,8
WN 1210,8
AA 5942,8
NK 3211,8
WN 2133,8
B6 1174,8
DL 2069,8
NK 1971,8
AS 2570,8
WN 1408,8
AA 4176,8
AA 5842,8
AA 4348,8
WN 574,8
AA 5881,8
WN 747,8
UA 3542,8
UA 3570,8
NK 1233,8
AA 380,8
WN 1712,8
AA 1492,8
AA 4138,8
AA 4190,8
AA 1146,8
AA 1469,8
B6 2299,8
B6 332,8
NK 1672,8
WN 785,8
AA 1768,8
AA 1736,8
UA 3459,8
AA 3229,8
NK 765,8
AA 1936,8
WN 2425,8
WN 683,8
AA 1260,8
AA 3525,8
AA 3548,8
AA 3571,8
UA 3446,8
WN 1704,8
AA 2337,8
AA 4835,8
DL 4260,8
WN 1423,8
WN 620,8
AA 3999,8
UA 3567,8
B6 275,8
B6 1519,8
AA 3042,8
AA 3841,8
AA 3025,8
AA 1279,8
AA 4429,8
AA 1857,8
AA 2476,8
AA 2496,8
WN 848,8
AA 4122,8
AA 5949,8
AA 455,8
B6 2030,8
B6 955,8
UA 5597,8
DL 3669,8
NK 392,8
AA 2581,8
B6 931,8
WN 972,8
AA 2809,8
B6 1051,8
B6 906,8
AA 2609,8
WN 825,8
WN 1458,8
AA 2066,8
AA 2607,8
B6 2748,8
B6 352,8
AA 1368,8
DL 3513,8
AA 3155,8
AA 1945,8
AA 1550,8
DL 5127,8
B6 702,8
AA 3642,8
UA 5129,8
DL 5825,8
B6 1633,8
AA 3187,8
NK 1130,8
AA 3633,8
NK 2719,8
AA 1807,8
WN 1407,8
AA 2655,8
WN 20,8
AA 1781,8
WN 1068,8
AA 2640,8
WN 1563,8
NK 1673,8
UA 5176,8
NK 712,8
NK 251,8
AA 1208,8
AA 1537,8
WN 655,8
AA 2679,8
AA 2683,8
AA 3214,8
AA 5916,8
UA 3508,8
B6 1486,8
WN 401,8
AA 1192,8
NK 599,8
NK 2308,8
UA 4642,8
AA 1065,8
AA 1880,8
AA 2673,8
DL 4874,8
WN 1371,8
WN 199,8
AA 5825,8
F9 820,8
NK 3206,8
AA 1818,8
AA 2872,8
WN 1163,8
AA 4202,8
B6 932,8
WN 2210,8
WN 3069,8
WN 1110,8
WN 945,8
AA 5836,8
WN 804,8
UA 3659,8
AA 2250,8
AA 3756,8
NK 1561,8
AA 2374,8
WN 1041,8
WN 2440,8
B6 1220,8
WN 535,8
WN 1442,8
AA 1312,8
B6 1132,8
WN 334,8
B6 1634,8
B6 2119,8
UA 4701,8
WN 680,8
AA 1148,8
DL 5016,8
AA 2671,8
AA 3258,8
AA 2456,8
WN 799,8
AA 1319,8
WN 672,8
AA 2085,8
WN 1765,8
AA 3154,8
WN 685,8
AA 2714,8
UA 3624,8
AS 546,8
AA 817,8
AA 5508,8
WN 922,8
WN 670,8
AA 701,8
WN 1921,8
AS 1196,8
AS 8,8
UA 5834,8
WN 2009,8
AA 1642,8
AA 2142,8
AS 754,8
NK 1320,7
WN 1460,7
AA 1608,7
AA 1061,7
AA 3149,7
AA 5127,7
DL 5637,7
AS 1366,7
DL 4040,7
AA 4043,7
AA 4242,7
NK 600,7
NK 319,7
AA 2722,7
