combinedFlightNumber,Large_delays,slight_delays,moderate_delays,total_cancellations,
UA 5076,13,0,0,0,
DL 3623,7,0,0,0,
AA 3042,7,0,0,8,
AA 2807,7,0,0,0,
DL 3770,7,0,0,0,
DL 3597,7,0,0,0,
AA 2715,7,0,0,0,
DL 3544,7,0,0,0,
B6 802,7,0,0,0,
B6 1630,6,0,0,0,
AA 2679,6,0,0,8,
WN 843,6,151,0,0,
AA 5183,6,0,0,0,
DL 4503,6,0,0,0,
B6 37,6,0,0,0,
DL 3961,6,0,9,0,
AA 1274,6,0,0,0,
B6 2061,6,0,10,0,
DL 3874,6,0,0,0,
B6 968,6,0,0,0,
DL 4261,6,0,0,0,
B6 1131,6,0,0,0,
AA 2913,6,0,9,0,
DL 3667,6,0,0,0,
B6 2340,6,0,0,0,
DL 4111,6,0,0,0,
AA 398,6,0,0,9,
UA 5030,6,0,0,0,
AA 3018,6,0,0,0,
B6 522,6,0,0,0,
AA 5138,6,0,0,0,
AA 1022,6,0,0,0,
DL 4160,6,0,0,0,
DL 3900,6,0,0,0,
DL 4831,6,0,0,0,
AA 5927,6,0,0,0,
DL 3533,5,0,0,0,
B6 270,5,0,0,0,
DL 4685,5,0,0,0,
DL 2342,5,0,0,0,
B6 233,5,0,0,12,
AA 3087,5,0,0,,
AA 5161,5,0,0,,
B6 718,5,0,0,,
B6 729,5,0,0,,
B6 1729,5,0,8,,
F9 1239,5,0,0,,
B6 611,5,0,0,,
B6 1677,5,0,0,,
B6 1601,5,0,0,,
B6 1678,5,0,0,,
DL 3979,5,0,0,,
B6 1221,5,0,0,,
B6 1527,5,0,0,,
AA 1463,5,0,0,,
AA 3225,5,0,0,,
DL 4170,5,0,0,,
F9 1164,5,0,0,,
DL 4275,5,0,0,,
AA 340,5,0,0,,
AA 2845,5,0,0,,
B6 883,5,0,0,,
AA 6170,5,0,0,,
B6 1170,5,0,0,,
B6 485,5,0,0,,
WN 269,5,0,0,0,
B6 186,5,0,0,0,
DL 2953,5,0,0,0,
AA 757,5,0,0,0,
DL 2216,5,0,0,0,
F9 2415,5,0,0,0,
DL 4043,5,0,0,0,
AA 3136,5,0,0,0,
F9 1039,5,0,0,0,
DL 3878,5,0,0,0,
B6 1152,5,0,0,0,
B6 481,5,0,0,0,
DL 659,5,0,0,0,
AA 5640,5,0,0,0,
F9 1243,5,0,0,0,
B6 601,4,0,0,0,
UA 1807,4,0,0,0,
AA 5305,4,0,0,0,
UA 4656,4,0,0,0,
UA 5120,4,0,0,0,
AA 3075,4,0,0,0,
DL 668,4,0,0,0,
F9 1291,4,0,0,0,
UA 5124,4,0,0,0,
DL 3812,4,0,0,0,
B6 904,4,0,0,0,
AA 1878,4,0,0,0,
AA 1684,4,0,0,0,
UA 6123,4,0,0,0,
DL 3766,4,0,0,0,
B6 582,4,0,0,0,
DL 4157,4,0,0,0,
AA 2809,4,0,0,8,
AA 238,4,0,0,0,
B6 184,4,0,0,0,
AS 64,0,278,0,0,
AS 65,0,271,8,0,
AS 62,0,252,0,19,
WN 55,0,245,8,14,
AS 67,0,239,10,21,
WN 104,0,237,0,0,
WN 36,0,225,9,0,
AS 66,0,219,0,10,
WN 848,0,208,0,8,
WN 1251,0,207,0,0,
WN 1630,0,207,0,0,
AS 61,0,205,10,10,
WN 29,0,204,0,10,
WN 19,0,198,0,15,
WN 679,0,198,15,9,
WN 1006,0,196,0,0,
WN 886,0,195,0,0,
WN 1752,0,192,0,0,
WN 148,0,190,0,0,
WN 274,0,190,0,0,
WN 1489,0,189,0,0,
WN 700,0,189,0,0,
WN 573,0,188,0,0,
WN 1313,0,187,0,0,
WN 786,0,186,0,0,
WN 2396,0,184,0,0,
WN 301,0,183,0,0,
WN 1249,0,183,0,0,
WN 157,0,183,0,0,
WN 1574,0,183,0,0,
WN 1500,0,181,0,9,
WN 223,0,180,0,14,
WN 1704,0,179,14,8,
WN 1723,0,176,11,14,
WN 2179,0,173,0,0,
WN 169,0,173,0,0,
WN 946,0,173,0,0,
WN 1393,0,172,0,0,
WN 1809,0,171,0,0,
WN 2095,0,169,0,0,
WN 2319,0,168,0,0,
WN 2392,0,168,0,0,
AS 153,0,167,0,0,
WN 236,0,167,0,0,
WN 1375,0,167,0,0,
WN 841,0,166,0,0,
WN 517,0,166,0,0,
WN 1351,0,165,0,0,
WN 100,0,164,0,0,
WN 175,0,163,0,0,
WN 2135,0,163,0,12,
WN 1183,0,163,0,0,
WN 1818,0,163,0,0,
WN 661,0,162,0,0,
WN 2147,0,162,0,0,
WN 1175,0,162,0,0,
WN 1550,0,162,0,0,
WN 227,0,162,0,0,
WN 45,0,162,0,0,
WN 761,0,162,0,0,
WN 1374,0,161,0,0,
WN 1107,0,161,0,0,
WN 334,0,161,0,8,
WN 502,0,161,0,0,
WN 1678,0,160,0,0,
WN 312,0,159,0,9,
WN 773,0,158,0,0,
WN 204,0,158,0,9,
WN 1033,0,157,0,0,
WN 836,0,157,0,0,
WN 949,0,155,0,0,
WN 493,0,155,0,9,
WN 545,0,155,0,0,
WN 1502,0,154,0,0,
WN 1638,0,154,0,0,
WN 2738,0,153,0,0,
WN 1132,0,153,0,9,
WN 747,0,150,0,8,
WN 259,0,150,0,9,
WN 187,0,149,13,0,
WN 2087,0,149,0,14,
WN 5,0,148,0,0,
